cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag
en668,2021-07-21T00:45:00Z,41.0031,-70.8816,5,b,>0,0.25,0.8,3
en668,2021-07-21T00:45:00Z,41.0031,-70.8816,5,c,>0,0.7,0.4,1
en668,2021-07-21T01:00:00Z,41.0189,-70.8829,5,a,>0,0.84,0.1,3
en668,2021-07-21T01:00:00Z,41.0189,-70.8829,5,b,>0,0.56,0.34,1
en668,2021-07-21T01:00:00Z,41.0189,-70.8829,5,c,>0,0.72,0.24,1
en668,2021-07-21T07:56:00Z,41.0285,-70.9947,5,a,>0,0.94,0.24,3
en668,2021-07-21T07:56:00Z,41.0285,-70.9947,5,b,>0,0.95,0.16,3
en668,2021-07-21T07:56:00Z,41.0285,-70.9947,5,c,>0,0.97,0.2,3
en668,2021-07-21T11:21:00Z,41.3174,-70.5765,5,a,>0,3.53,1.4,1
en668,2021-07-21T11:21:00Z,41.3174,-70.5765,5,b,>0,3.45,1.14,1
en668,2021-07-21T11:21:00Z,41.3174,-70.5765,5,c,>0,3.55,1.08,1
en668,2021-07-21T14:28:00Z,41.2726,-71.0516,5,a,>0,0.64,0.76,3
en668,2021-07-21T14:28:00Z,41.2726,-71.0516,5,b,>0,1.04,0.3,1
en668,2021-07-21T14:28:00Z,41.2726,-71.0516,5,c,>0,0.84,0.54,1
